FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,ReusedCore,Legs,Block,ReusedCount,Serial,Longitude,Latitude,Class,Year,ReusedFairings,CostCoreMil,CostFairingsMil,CostOtherMil,CostKgMil,CostTotalMil,RevenueReuseMil,RevenueKgMil,RevenueTotalMil,ProfitMil
1,6/4/2010,Falcon 9,6104.959412,LEO,CCAFS SLC 40,None None,1,0,0,0,1,0,B0003,-80.577366,28.5618571,0,2010,0,30000000.00,6000000.00,14000000.00,42734715.88,92734715.88,62000000.00,61049594.12,123049594.10,30314878.22
2,5/22/2012,Falcon 9,525,LEO,CCAFS SLC 40,None None,1,0,0,0,1,0,B0005,-80.577366,28.5618571,0,2012,0,30000000.00,6000000.00,14000000.00,3675000.00,53675000.00,62000000.00,5250000.00,67250000.00,13575000.00
3,3/1/2013,Falcon 9,677,ISS,CCAFS SLC 40,None None,1,0,0,0,1,0,B0007,-80.577366,28.5618571,0,2013,0,30000000.00,6000000.00,14000000.00,4739000.00,54739000.00,62000000.00,6770000.00,68770000.00,14031000.00
4,9/29/2013,Falcon 9,500,PO,VAFB SLC 4E,False Ocean,1,0,0,0,1,0,B1003,-120.610829,34.632093,0,2013,0,30000000.00,6000000.00,14000000.00,3500000.00,53500000.00,62000000.00,5000000.00,67000000.00,13500000.00
5,12/3/2013,Falcon 9,3170,GTO,CCAFS SLC 40,None None,1,0,0,0,1,0,B1004,-80.577366,28.5618571,0,2013,0,30000000.00,6000000.00,14000000.00,22190000.00,72190000.00,62000000.00,31700000.00,93700000.00,21510000.00
6,1/6/2014,Falcon 9,3325,GTO,CCAFS SLC 40,None None,1,0,0,0,1,0,B1005,-80.577366,28.5618571,0,2014,0,30000000.00,6000000.00,14000000.00,23275000.00,73275000.00,62000000.00,33250000.00,95250000.00,21975000.00
7,4/18/2014,Falcon 9,2296,ISS,CCAFS SLC 40,True Ocean,1,0,0,1,1,0,B1006,-80.577366,28.5618571,1,2014,0,30000000.00,6000000.00,14000000.00,16072000.00,66072000.00,62000000.00,22960000.00,84960000.00,18888000.00
8,7/14/2014,Falcon 9,1316,LEO,CCAFS SLC 40,True Ocean,1,0,0,1,1,0,B1007,-80.577366,28.5618571,1,2014,0,30000000.00,6000000.00,14000000.00,9212000.00,59212000.00,62000000.00,13160000.00,75160000.00,15948000.00
9,8/5/2014,Falcon 9,4535,GTO,CCAFS SLC 40,None None,1,0,0,0,1,0,B1008,-80.577366,28.5618571,0,2014,0,30000000.00,6000000.00,14000000.00,31745000.00,81745000.00,62000000.00,45350000.00,107350000.00,25605000.00
10,9/7/2014,Falcon 9,4428,GTO,CCAFS SLC 40,None None,1,0,0,0,1,0,B1011,-80.577366,28.5618571,0,2014,0,30000000.00,6000000.00,14000000.00,30996000.00,80996000.00,62000000.00,44280000.00,106280000.00,25284000.00
11,9/21/2014,Falcon 9,2216,ISS,CCAFS SLC 40,False Ocean,1,0,0,0,1,0,B1010,-80.577366,28.5618571,0,2014,0,30000000.00,6000000.00,14000000.00,15512000.00,65512000.00,62000000.00,22160000.00,84160000.00,18648000.00
12,1/10/2015,Falcon 9,2395,ISS,CCAFS SLC 40,False ASDS,1,1,0,1,1,0,B1012,-80.577366,28.5618571,0,2015,0,30000000.00,6000000.00,14000000.00,16765000.00,66765000.00,62000000.00,23950000.00,85950000.00,19185000.00
13,2/11/2015,Falcon 9,570,ES-L1,CCAFS SLC 40,True Ocean,1,1,0,1,1,0,B1013,-80.577366,28.5618571,1,2015,0,30000000.00,6000000.00,14000000.00,3990000.00,53990000.00,62000000.00,5700000.00,67700000.00,13710000.00
14,4/14/2015,Falcon 9,1898,ISS,CCAFS SLC 40,False ASDS,1,1,0,1,1,0,B1015,-80.577366,28.5618571,0,2015,0,30000000.00,6000000.00,14000000.00,13286000.00,63286000.00,62000000.00,18980000.00,80980000.00,17694000.00
15,4/27/2015,Falcon 9,4707,GTO,CCAFS SLC 40,None None,1,0,0,0,1,0,B1016,-80.577366,28.5618571,0,2015,0,30000000.00,6000000.00,14000000.00,32949000.00,82949000.00,62000000.00,47070000.00,109070000.00,26121000.00
16,6/28/2015,Falcon 9,2477,ISS,CCAFS SLC 40,None ASDS,1,1,0,1,1,0,B1018,-80.577366,28.5618571,0,2015,0,30000000.00,6000000.00,14000000.00,17339000.00,67339000.00,62000000.00,24770000.00,86770000.00,19431000.00
17,12/22/2015,Falcon 9,2034,LEO,CCAFS SLC 40,True RTLS,1,1,0,1,1,0,B1019,-80.577366,28.5618571,1,2015,0,30000000.00,6000000.00,14000000.00,14238000.00,64238000.00,62000000.00,20340000.00,82340000.00,18102000.00
18,1/17/2016,Falcon 9,553,PO,VAFB SLC 4E,False ASDS,1,1,0,1,1,0,B1017,-120.610829,34.632093,0,2016,0,30000000.00,6000000.00,14000000.00,3871000.00,53871000.00,62000000.00,5530000.00,67530000.00,13659000.00
19,3/4/2016,Falcon 9,5271,GTO,CCAFS SLC 40,False ASDS,1,1,0,1,1,0,B1020,-80.577366,28.5618571,0,2016,0,30000000.00,6000000.00,14000000.00,36897000.00,86897000.00,62000000.00,52710000.00,114710000.00,27813000.00
20,4/8/2016,Falcon 9,3136,ISS,CCAFS SLC 40,True ASDS,1,1,0,1,2,1,B1021,-80.577366,28.5618571,1,2016,0,30000000.00,6000000.00,14000000.00,21952000.00,71952000.00,62000000.00,31360000.00,93360000.00,21408000.00
21,5/6/2016,Falcon 9,4696,GTO,CCAFS SLC 40,True ASDS,1,1,0,1,2,0,B1022,-80.577366,28.5618571,1,2016,0,30000000.00,6000000.00,14000000.00,32872000.00,82872000.00,62000000.00,46960000.00,108960000.00,26088000.00
22,5/27/2016,Falcon 9,3100,GTO,CCAFS SLC 40,True ASDS,1,1,0,1,2,1,B1023,-80.577366,28.5618571,1,2016,0,30000000.00,6000000.00,14000000.00,21700000.00,71700000.00,62000000.00,31000000.00,93000000.00,21300000.00
23,7/18/2016,Falcon 9,2257,ISS,CCAFS SLC 40,True RTLS,1,1,0,1,2,1,B1025,-80.577366,28.5618571,1,2016,0,30000000.00,6000000.00,14000000.00,15799000.00,65799000.00,62000000.00,22570000.00,84570000.00,18771000.00
24,8/14/2016,Falcon 9,4600,GTO,CCAFS SLC 40,True ASDS,1,1,0,1,2,0,B1026,-80.577366,28.5618571,1,2016,0,30000000.00,6000000.00,14000000.00,32200000.00,82200000.00,62000000.00,46000000.00,108000000.00,25800000.00
25,9/1/2016,Falcon 9,5500,GTO,CCAFS SLC 40,None ASDS,1,1,0,1,3,0,B1028,-80.577366,28.5618571,0,2016,0,30000000.00,6000000.00,14000000.00,38500000.00,88500000.00,62000000.00,55000000.00,117000000.00,28500000.00
26,1/14/2017,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,1,1,0,1,3,1,B1029,-120.610829,34.632093,1,2017,0,30000000.00,6000000.00,14000000.00,67200000.00,117200000.00,62000000.00,96000000.00,158000000.00,40800000.00
27,2/19/2017,Falcon 9,2490,ISS,KSC LC 39A,True RTLS,1,1,0,1,3,1,B1031,-80.6039558,28.6080585,1,2017,0,30000000.00,6000000.00,14000000.00,17430000.00,67430000.00,62000000.00,24900000.00,86900000.00,19470000.00
28,3/16/2017,Falcon 9,5600,GTO,KSC LC 39A,None None,1,0,0,0,3,0,B1030,-80.6039558,28.6080585,0,2017,0,30000000.00,6000000.00,14000000.00,39200000.00,89200000.00,62000000.00,56000000.00,118000000.00,28800000.00
29,3/30/2017,Falcon 9,5300,GTO,KSC LC 39A,True ASDS,2,1,1,1,2,1,B1021,-80.6039558,28.6080585,1,2017,0,250000.00,6000000.00,14000000.00,37100000.00,57350000.00,50000000.00,53000000.00,103000000.00,45650000.00
30,5/1/2017,Falcon 9,6104.959412,LEO,KSC LC 39A,True RTLS,1,1,0,1,3,1,B1032,-80.6039558,28.6080585,1,2017,0,30000000.00,6000000.00,14000000.00,42734715.88,92734715.88,62000000.00,61049594.12,123049594.10,30314878.22
31,5/15/2017,Falcon 9,6070,GTO,KSC LC 39A,None None,1,0,0,0,3,0,B1034,-80.6039558,28.6080585,0,2017,0,30000000.00,6000000.00,14000000.00,42490000.00,92490000.00,62000000.00,60700000.00,122700000.00,30210000.00
32,6/3/2017,Falcon 9,2708,ISS,KSC LC 39A,True RTLS,1,1,0,1,3,1,B1035,-80.6039558,28.6080585,1,2017,0,30000000.00,6000000.00,14000000.00,18956000.00,68956000.00,62000000.00,27080000.00,89080000.00,20124000.00
33,6/23/2017,Falcon 9,3669,GTO,KSC LC 39A,True ASDS,2,1,1,1,3,1,B1029,-80.6039558,28.6080585,1,2017,0,250000.00,6000000.00,14000000.00,25683000.00,45933000.00,50000000.00,36690000.00,86690000.00,40757000.00
34,6/25/2017,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,1,1,0,1,3,1,B1036,-120.610829,34.632093,1,2017,0,30000000.00,6000000.00,14000000.00,67200000.00,117200000.00,62000000.00,96000000.00,158000000.00,40800000.00
35,7/5/2017,Falcon 9,6761,GTO,KSC LC 39A,None None,1,0,0,0,3,0,B1037,-80.6039558,28.6080585,0,2017,0,30000000.00,6000000.00,14000000.00,47327000.00,97327000.00,62000000.00,67610000.00,129610000.00,32283000.00
36,8/14/2017,Falcon 9,2910,ISS,KSC LC 39A,True RTLS,1,1,0,1,4,1,B1039,-80.6039558,28.6080585,1,2017,0,30000000.00,6000000.00,14000000.00,20370000.00,70370000.00,62000000.00,29100000.00,91100000.00,20730000.00
37,8/24/2017,Falcon 9,475,SSO,VAFB SLC 4E,True ASDS,1,1,0,1,3,1,B1038,-120.610829,34.632093,1,2017,0,30000000.00,6000000.00,14000000.00,3325000.00,53325000.00,62000000.00,4750000.00,66750000.00,13425000.00
38,9/7/2017,Falcon 9,4990,LEO,KSC LC 39A,True RTLS,1,1,0,1,4,1,B1040,-80.6039558,28.6080585,1,2017,0,30000000.00,6000000.00,14000000.00,34930000.00,84930000.00,62000000.00,49900000.00,111900000.00,26970000.00
39,10/9/2017,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,1,1,0,1,4,1,B1041,-120.610829,34.632093,1,2017,0,30000000.00,6000000.00,14000000.00,67200000.00,117200000.00,62000000.00,96000000.00,158000000.00,40800000.00
40,10/11/2017,Falcon 9,5200,GTO,KSC LC 39A,True ASDS,2,1,1,1,3,1,B1031,-80.6039558,28.6080585,1,2017,0,250000.00,6000000.00,14000000.00,36400000.00,56650000.00,50000000.00,52000000.00,102000000.00,45350000.00
41,10/30/2017,Falcon 9,3700,GTO,KSC LC 39A,True ASDS,1,1,0,1,4,0,B1042,-80.6039558,28.6080585,1,2017,0,30000000.00,6000000.00,14000000.00,25900000.00,75900000.00,62000000.00,37000000.00,99000000.00,23100000.00
42,12/15/2017,Falcon 9,2205,ISS,CCAFS SLC 40,True RTLS,2,1,1,1,3,1,B1035,-80.577366,28.5618571,1,2017,0,250000.00,6000000.00,14000000.00,15435000.00,35685000.00,50000000.00,22050000.00,72050000.00,36365000.00
43,12/23/2017,Falcon 9,9600,PO,VAFB SLC 4E,True Ocean,2,1,1,0,3,1,B1036,-120.610829,34.632093,1,2017,0,250000.00,6000000.00,14000000.00,67200000.00,87450000.00,50000000.00,96000000.00,146000000.00,58550000.00
44,1/8/2018,Falcon 9,6104.959412,LEO,CCAFS SLC 40,True RTLS,1,1,0,1,4,1,B1043,-80.577366,28.5618571,1,2018,0,30000000.00,6000000.00,14000000.00,42734715.88,92734715.88,62000000.00,61049594.12,123049594.10,30314878.22
45,1/31/2018,Falcon 9,4230,GTO,CCAFS SLC 40,True Ocean,2,1,1,1,3,1,B1032,-80.577366,28.5618571,1,2018,0,250000.00,6000000.00,14000000.00,29610000.00,49860000.00,50000000.00,42300000.00,92300000.00,42440000.00
46,3/6/2018,Falcon 9,6092,GTO,CCAFS SLC 40,None None,1,1,0,1,4,0,B1044,-80.577366,28.5618571,0,2018,0,30000000.00,6000000.00,14000000.00,42644000.00,92644000.00,62000000.00,60920000.00,122920000.00,30276000.00
47,3/30/2018,Falcon 9,9600,PO,VAFB SLC 4E,None None,2,1,1,1,4,1,B1041,-120.610829,34.632093,0,2018,0,250000.00,6000000.00,14000000.00,67200000.00,87450000.00,50000000.00,96000000.00,146000000.00,58550000.00
48,4/2/2018,Falcon 9,2760,ISS,CCAFS SLC 40,None None,2,1,1,1,4,1,B1039,-80.577366,28.5618571,0,2018,0,250000.00,6000000.00,14000000.00,19320000.00,39570000.00,50000000.00,27600000.00,77600000.00,38030000.00
49,4/18/2018,Falcon 9,350,HEO,CCAFS SLC 40,True ASDS,1,1,0,1,4,1,B1045,-80.577366,28.5618571,1,2018,0,30000000.00,6000000.00,14000000.00,2450000.00,52450000.00,62000000.00,3500000.00,65500000.00,13050000.00
50,5/11/2018,Falcon 9,3750,GTO,KSC LC 39A,True ASDS,1,1,0,1,5,3,B1046,-80.6039558,28.6080585,1,2018,0,30000000.00,6000000.00,14000000.00,26250000.00,76250000.00,62000000.00,37500000.00,99500000.00,23250000.00
51,6/4/2018,Falcon 9,5383.85,GTO,CCAFS SLC 40,None None,2,0,1,0,4,1,B1040,-80.577366,28.5618571,0,2018,0,250000.00,6000000.00,14000000.00,37686950.00,57936950.00,50000000.00,53838500.00,103838500.00,45901550.00
52,6/29/2018,Falcon 9,2410,ISS,CCAFS SLC 40,None None,2,0,1,0,4,1,B1045,-80.577366,28.5618571,0,2018,0,250000.00,6000000.00,14000000.00,16870000.00,37120000.00,50000000.00,24100000.00,74100000.00,36980000.00
53,7/22/2018,Falcon 9,7076,GTO,CCAFS SLC 40,True ASDS,1,1,0,1,5,2,B1047,-80.577366,28.5618571,1,2018,0,30000000.00,6000000.00,14000000.00,49532000.00,99532000.00,62000000.00,70760000.00,132760000.00,33228000.00
54,7/25/2018,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,1,1,0,1,5,4,B1048,-120.610829,34.632093,1,2018,0,30000000.00,6000000.00,14000000.00,67200000.00,117200000.00,62000000.00,96000000.00,158000000.00,40800000.00
55,8/7/2018,Falcon 9,5800,GTO,CCAFS SLC 40,True ASDS,2,1,1,1,5,3,B1046,-80.577366,28.5618571,1,2018,0,250000.00,6000000.00,14000000.00,40600000.00,60850000.00,50000000.00,58000000.00,108000000.00,47150000.00
56,9/10/2018,Falcon 9,7060,GTO,CCAFS SLC 40,True ASDS,1,1,0,1,5,5,B1049,-80.577366,28.5618571,1,2018,0,30000000.00,6000000.00,14000000.00,49420000.00,99420000.00,62000000.00,70600000.00,132600000.00,33180000.00
57,10/8/2018,Falcon 9,2800,SSO,VAFB SLC 4E,True RTLS,2,1,1,1,5,4,B1048,-120.610829,34.632093,1,2018,0,250000.00,6000000.00,14000000.00,19600000.00,39850000.00,50000000.00,28000000.00,78000000.00,38150000.00
58,11/15/2018,Falcon 9,3000,GTO,KSC LC 39A,True ASDS,2,1,1,1,5,2,B1047,-80.6039558,28.6080585,1,2018,0,250000.00,6000000.00,14000000.00,21000000.00,41250000.00,50000000.00,30000000.00,80000000.00,38750000.00
59,12/3/2018,Falcon 9,4000,SSO,VAFB SLC 4E,True ASDS,3,1,1,1,5,3,B1046,-120.610829,34.632093,1,2018,0,250000.00,6000000.00,14000000.00,28000000.00,48250000.00,50000000.00,40000000.00,90000000.00,41750000.00
60,12/5/2018,Falcon 9,2573,ISS,CCAFS SLC 40,False RTLS,1,1,0,1,5,0,B1050,-80.577366,28.5618571,0,2018,0,30000000.00,6000000.00,14000000.00,18011000.00,68011000.00,62000000.00,25730000.00,87730000.00,19719000.00
61,12/23/2018,Falcon 9,4400,MEO,CCAFS SLC 40,None None,1,0,0,0,5,0,B1054,-80.577366,28.5618571,0,2018,0,30000000.00,6000000.00,14000000.00,30800000.00,80800000.00,62000000.00,44000000.00,106000000.00,25200000.00
62,1/11/2019,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,2,1,1,1,5,5,B1049,-120.610829,34.632093,1,2019,0,250000.00,6000000.00,14000000.00,67200000.00,87450000.00,50000000.00,96000000.00,146000000.00,58550000.00
63,3/2/2019,Falcon 9,12259,ISS,KSC LC 39A,True ASDS,1,1,0,1,5,5,B1051,-80.6039558,28.6080585,1,2019,0,30000000.00,6000000.00,14000000.00,85813000.00,135813000.00,62000000.00,122590000.00,184590000.00,48777000.00
64,5/4/2019,Falcon 9,2482,ISS,CCAFS SLC 40,True ASDS,1,1,0,1,5,3,B1056,-80.577366,28.5618571,1,2019,0,30000000.00,6000000.00,14000000.00,17374000.00,67374000.00,62000000.00,24820000.00,86820000.00,19446000.00
65,5/24/2019,Falcon 9,13620,VLEO,CCAFS SLC 40,True ASDS,3,1,1,1,5,5,B1049,-80.577366,28.5618571,1,2019,0,250000.00,6000000.00,14000000.00,95340000.00,115590000.00,50000000.00,136200000.00,186200000.00,70610000.00
66,6/12/2019,Falcon 9,1425,SSO,VAFB SLC 4E,True RTLS,2,1,1,1,5,5,B1051,-120.610829,34.632093,1,2019,0,250000.00,6000000.00,14000000.00,9975000.00,30225000.00,50000000.00,14250000.00,64250000.00,34025000.00
67,7/25/2019,Falcon 9,2227.7,ISS,CCAFS SLC 40,True RTLS,2,1,1,1,5,3,B1056,-80.577366,28.5618571,1,2019,0,250000.00,6000000.00,14000000.00,15593900.00,35843900.00,50000000.00,22277000.00,72277000.00,36433100.00
68,8/6/2019,Falcon 9,6500,GTO,CCAFS SLC 40,None None,3,0,1,0,5,2,B1047,-80.577366,28.5618571,0,2019,0,250000.00,6000000.00,14000000.00,45500000.00,65750000.00,50000000.00,65000000.00,115000000.00,49250000.00
69,11/11/2019,Falcon 9,15600,VLEO,CCAFS SLC 40,True ASDS,4,1,1,1,5,4,B1048,-80.577366,28.5618571,1,2019,1,250000.00,750000.00,14000000.00,109200000.00,124200000.00,50000000.00,156000000.00,206000000.00,81800000.00
70,12/5/2019,Falcon 9,5000,ISS,CCAFS SLC 40,True ASDS,1,1,0,1,5,3,B1059,-80.577366,28.5618571,1,2019,0,30000000.00,6000000.00,14000000.00,35000000.00,85000000.00,62000000.00,50000000.00,112000000.00,27000000.00
71,12/17/2019,Falcon 9,6800,GTO,CCAFS SLC 40,True ASDS,3,1,1,1,5,3,B1056,-80.577366,28.5618571,1,2019,0,250000.00,6000000.00,14000000.00,47600000.00,67850000.00,50000000.00,68000000.00,118000000.00,50150000.00
72,1/7/2020,Falcon 9,15400,VLEO,CCAFS SLC 40,True ASDS,4,1,1,1,5,5,B1049,-80.577366,28.5618571,1,2020,0,250000.00,6000000.00,14000000.00,107800000.00,128050000.00,50000000.00,154000000.00,204000000.00,75950000.00
73,1/19/2020,Falcon 9,6104.959412,SO,KSC LC 39A,None None,4,0,1,0,5,3,B1046,-80.6039558,28.6080585,0,2020,0,250000.00,6000000.00,14000000.00,42734715.88,62984715.88,50000000.00,61049594.12,111049594.10,48064878.22
74,1/29/2020,Falcon 9,15600,VLEO,CCAFS SLC 40,True ASDS,3,1,1,1,5,5,B1051,-80.577366,28.5618571,1,2020,0,250000.00,6000000.00,14000000.00,109200000.00,129450000.00,50000000.00,156000000.00,206000000.00,76550000.00
75,2/17/2020,Falcon 9,15400,VLEO,CCAFS SLC 40,False ASDS,4,1,1,1,5,3,B1056,-80.577366,28.5618571,0,2020,0,250000.00,6000000.00,14000000.00,107800000.00,128050000.00,50000000.00,154000000.00,204000000.00,75950000.00
76,3/7/2020,Falcon 9,1977,ISS,CCAFS SLC 40,True RTLS,2,1,1,1,5,3,B1059,-80.577366,28.5618571,1,2020,0,250000.00,6000000.00,14000000.00,13839000.00,34089000.00,50000000.00,19770000.00,69770000.00,35681000.00
77,3/18/2020,Falcon 9,15600,VLEO,KSC LC 39A,False ASDS,5,1,1,1,5,4,B1048,-80.6039558,28.6080585,0,2020,1,250000.00,750000.00,14000000.00,109200000.00,124200000.00,50000000.00,156000000.00,206000000.00,81800000.00
78,4/22/2020,Falcon 9,15400,VLEO,KSC LC 39A,True ASDS,4,1,1,1,5,5,B1051,-80.6039558,28.6080585,1,2020,1,250000.00,750000.00,14000000.00,107800000.00,122800000.00,50000000.00,154000000.00,204000000.00,81200000.00
79,5/30/2020,Falcon 9,9525,ISS,KSC LC 39A,True ASDS,1,1,0,1,5,2,B1058,-80.6039558,28.6080585,1,2020,0,30000000.00,6000000.00,14000000.00,66675000.00,116675000.00,62000000.00,95250000.00,157250000.00,40575000.00
80,6/4/2020,Falcon 9,15400,VLEO,CCAFS SLC 40,True ASDS,5,1,1,1,5,5,B1049,-80.577366,28.5618571,1,2020,0,250000.00,6000000.00,14000000.00,107800000.00,128050000.00,50000000.00,154000000.00,204000000.00,75950000.00
81,6/13/2020,Falcon 9,15400,VLEO,CCAFS SLC 40,True ASDS,3,1,1,1,5,3,B1059,-80.577366,28.5618571,1,2020,1,250000.00,750000.00,14000000.00,107800000.00,122800000.00,50000000.00,154000000.00,204000000.00,81200000.00
82,6/30/2020,Falcon 9,3880,MEO,CCAFS SLC 40,True ASDS,1,1,0,1,5,2,B1060,-80.577366,28.5618571,1,2020,0,30000000.00,6000000.00,14000000.00,27160000.00,77160000.00,62000000.00,38800000.00,100800000.00,23640000.00
83,7/20/2020,Falcon 9,6104.959412,GEO,CCAFS SLC 40,True ASDS,2,1,1,1,5,2,B1058,-80.577366,28.5618571,1,2020,0,250000.00,6000000.00,14000000.00,42734715.88,62984715.88,50000000.00,61049594.12,111049594.10,48064878.22
84,8/18/2020,Falcon 9,15400,VLEO,CCAFS SLC 40,True ASDS,6,1,1,1,5,5,B1049,-80.577366,28.5618571,1,2020,1,250000.00,750000.00,14000000.00,107800000.00,122800000.00,50000000.00,154000000.00,204000000.00,81200000.00
85,8/30/2020,Falcon 9,1600,SSO,CCAFS SLC 40,True RTLS,4,1,1,1,5,3,B1059,-80.577366,28.5618571,1,2020,0,250000.00,6000000.00,14000000.00,11200000.00,31450000.00,50000000.00,16000000.00,66000000.00,34550000.00
86,9/3/2020,Falcon 9,15400,VLEO,KSC LC 39A,True ASDS,2,1,1,1,5,2,B1060,-80.6039558,28.6080585,1,2020,0,250000.00,6000000.00,14000000.00,107800000.00,128050000.00,50000000.00,154000000.00,204000000.00,75950000.00
87,10/6/2020,Falcon 9,15400,VLEO,KSC LC 39A,True ASDS,3,1,1,1,5,2,B1058,-80.6039558,28.6080585,1,2020,1,250000.00,750000.00,14000000.00,107800000.00,122800000.00,50000000.00,154000000.00,204000000.00,81200000.00
88,10/18/2020,Falcon 9,15400,VLEO,KSC LC 39A,True ASDS,6,1,1,1,5,5,B1051,-80.6039558,28.6080585,1,2020,1,250000.00,750000.00,14000000.00,107800000.00,122800000.00,50000000.00,154000000.00,204000000.00,81200000.00
89,10/24/2020,Falcon 9,15400,VLEO,CCAFS SLC 40,True ASDS,3,1,1,1,5,2,B1060,-80.577366,28.5618571,1,2020,0,250000.00,6000000.00,14000000.00,107800000.00,128050000.00,50000000.00,154000000.00,204000000.00,75950000.00
90,11/5/2020,Falcon 9,3681,MEO,CCAFS SLC 40,True ASDS,1,1,0,1,5,0,B1062,-80.577366,28.5618571,1,2020,0,30000000.00,6000000.00,14000000.00,25767000.00,75767000.00,62000000.00,36810000.00,98810000.00,23043000.00
